common_name,iupac_name,CAS,inchi,isomeric_SMILES,canonical_SMILES,family,Mw,interaction,source,segment,sigma,epsilon,dipole,kappa_ab,epsilon_k_ab,na,nb,expt_p_sat_T_min,expt_p_sat_T_max,expt_density_T_min,expt_density_T_max,expt_T_min_conservative,expt_T_max_conservative,expt_T_min_liberal,expt_T_max_liberal,critical_temperature_K,critical_pressure_Pa,critical_volume_m3_per_mol,p_sat_AAD,p_sat_AAD_outliers,rho_liq_AAD,rho_liq_sat_AAD,rho_liq_sp_AAD,rho_vap_AAD_outliers,p_sat_n_points,p_sat_n_points_outliers,rho_liq_n_points,rho_liq_sat_n_points,rho_liq_sp_n_points,rho_vap_n_points_outliers
2-methyltridecane,2-methyltridecane,1560-96-9,"InChI=1S/C14H30/c1-4-5-6-7-8-9-10-11-12-13-14(2)3/h14H,4-13H2,1-3H3",CCCCCCCCCCCC(C)C,CCCCCCCCCCCC(C)C,Alkanes,198.235,NONPOLAR,10.1021/acs.iecr.3c02255,5.74411,3.97091,254.45835,0.0,0.0,0.0,0,0,388.350006,520.55,293.149994,353.15,388.350006,353.15,293.149994,520.55,705.1583315511357,2.0329009654851812e6,0.0008678466528367094,3.32,-1.0,0.03,0.03,-1.0,-1.0,15,-1,5,5,-1,-1
3-methyltridecane,3-methyltridecane,6418-41-3,"InChI=1S/C14H30/c1-4-6-7-8-9-10-11-12-13-14(3)5-2/h14H,4-13H2,1-3H3",CCCCCCCCCCC(C)CC,CCCCCCCCCCC(C)CC,Alkanes,198.235,NONPOLAR,10.1021/acs.iecr.3c02255,5.51058,4.02287,260.30624,0.0,0.0,0.0,0,0,379.149994,521.55,293.149994,353.15,379.149994,353.15,293.149994,521.55,711.9222181587611,2.0772702061507152e6,0.0008599839030825432,3.73,4.4,0.08,0.08,-1.0,-1.0,15,16,8,8,-1,-1
"2,3-dimethyldodecane","2,3-dimethyldodecane",6117-98-2,"InChI=1S/C14H30/c1-5-6-7-8-9-10-11-12-14(4)13(2)3/h13-14H,5-12H2,1-4H3",CCCCCCCCCC(C)C(C)C,CCCCCCCCCC(C)C(C)C,Alkanes,198.235,NONPOLAR,10.1021/acs.iecr.3c02255,5.30002,4.06949,263.54957,0.0,0.0,0.0,0,0,385.149994,519.05,293.149994,353.15,385.149994,353.15,293.149994,519.05,711.7387469637428,2.1037662865935084e6,0.0008511266950030702,3.62,-1.0,0.27,0.27,-1.0,-1.0,17,-1,13,13,-1,-1
perfluorocyclobutane,"1,1,2,2,3,3,4,4-octafluorocyclobutane",115-25-3,"InChI=1S/C4F8/c5-1(6)2(7,8)4(11,12)3(1,9)10",FC1(F)C(F)(F)C(F)(F)C1(F)F,FC1(F)C(F)(F)C(F)(F)C1(F)F,Fluorides,199.987,NONPOLAR,10.1021/acs.iecr.3c02255,3.62556,3.40444,167.17625,0.0,0.0,0.0,0,0,233.0,388.37,233.05,368.19,233.05,368.19,233.0,388.37,393.43551327771524,3.091344886729609e6,0.00032571257724346524,1.48,1.57,0.88,1.01,0.61,1.58,288,290,178,121,57,77
"1,1,2,2-tetrachloro-1,2-difluoroethane","1,1,2,2-tetrachloro-1,2-difluoroethane",76-12-0,"InChI=1S/C2Cl4F2/c3-1(4,7)2(5,6)8",FC(Cl)(Cl)C(F)(Cl)Cl,FC(Cl)(Cl)C(F)(Cl)Cl,Halogenated compounds,201.872,NONPOLAR,10.1021/acs.iecr.3c02255,3.21681,3.66966,248.97891,0.0,0.0,0.0,0,0,301.25,394.299988,298.15,363.15,301.25,363.15,298.15,394.299988,558.0003548091225,3.9948729429736496e6,0.0003585914003586454,2.37,3.82,0.06,0.06,-1.0,-1.0,62,67,15,15,-1,-1
dibromodifluoromethane,dibromo(difluoro)methane,75-61-6,"InChI=1S/CBr2F2/c2-1(3,4)5",FC(F)(Br)Br,FC(F)(Br)Br,Halogenated compounds,207.833,NONPOLAR,10.1021/acs.iecr.3c02255,2.06713,3.80477,263.97546,0.0,0.0,0.0,0,0,221.75,298.15,203.15,293.15,221.75,293.15,203.15,298.15,483.3865395859016,4.942146241148723e6,0.00025362067730634835,1.67,-1.0,0.3,0.34,0.27,-1.0,23,-1,16,6,10,-1
pentadecane,pentadecane,629-62-9,"InChI=1S/C15H32/c1-3-5-7-9-11-13-15-14-12-10-8-6-4-2/h3-15H2,1-2H3",CCCCCCCCCCCCCCC,CCCCCCCCCCCCCCC,Alkanes,212.25,NONPOLAR,10.1021/acs.iecr.3c02255,6.50721,3.79059,251.06259,0.0,0.0,0.0,0,0,293.83,543.95,283.05,533.15,293.83,533.15,283.05,543.95,722.5734488878668,2.048490345605063e6,0.0008736349006687323,2.32,13.82,7.87,7.95,0.05,-1.0,69,80,103,102,1,-1
hexadecane,hexadecane,544-76-3,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC,Alkanes,226.266,NONPOLAR,10.1021/acs.iecr.3c02255,6.90909,3.87837,250.17195,0.0,0.0,0.0,0,0,293.15,589.0,290.649994,564.15,293.15,564.15,290.649994,589.0,732.5463354717438,1.7960805621571548e6,0.0010045606972543296,3.6,10.27,1.06,1.05,1.49,-1.0,295,369,1636,1627,9,-1
"2,2,4,4,6,8,8-heptamethylnonane","2,2,4,4,6,8,8-heptamethylnonane",4390-04-9,"InChI=1S/C16H34/c1-13(10-14(2,3)4)11-16(8,9)12-15(5,6)7/h13H,10-12H2,1-9H3",CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,Alkanes,226.266,NONPOLAR,10.1021/acs.iecr.3c02255,5.44878,4.19257,255.98331,0.0,0.0,0.0,0,0,313.15,545.42,253.15,522.5,313.15,522.5,253.15,545.42,697.561214029039,1.8230532998725253e6,0.0009608727105875667,4.37,4.77,0.9,0.9,-1.0,-1.0,20,21,284,284,-1,-1
p-dibromobenzene,"1,4-dibromobenzene",106-37-6,InChI=1S/C6H4Br2/c7-5-1-2-6(8)4-3-5/h1-4H,Brc1ccc(Br)cc1,Brc1ccc(Br)cc1,Halogenated compounds,233.868,NONPOLAR,10.1021/acs.iecr.3c02255,3.13662,3.80234,347.91066,0.0,0.0,0.0,0,0,361.529999,493.4,360.200012,482.15,361.529999,482.15,360.200012,493.4,771.4612500225732,5.103040041924116e6,0.00038833395979068295,1.02,1.79,0.93,0.93,-1.0,-1.0,24,25,21,21,-1,-1
perfluorobutane,"1,1,1,2,2,3,3,4,4,4-decafluorobutane",355-25-9,"InChI=1S/C4F10/c5-1(6,3(9,10)11)2(7,8)4(12,13)14",FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fluorides,237.984,NONPOLAR,10.1021/acs.iecr.3c02255,3.75759,3.56412,163.97853,0.0,0.0,0.0,0,0,192.41,383.040009,233.149994,358.15,233.149994,358.15,192.41,383.040009,391.3899173695941,2.574757958689504e6,0.00038860340130639643,1.05,1.29,0.97,0.2,1.09,4.71,324,329,30,4,26,46
heptadecane,heptadecane,629-78-7,"InChI=1S/C17H36/c1-3-5-7-9-11-13-15-17-16-14-12-10-8-6-4-2/h3-17H2,1-2H3",CCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCC,Alkanes,240.282,NONPOLAR,10.1021/acs.iecr.3c02255,7.42946,3.87719,248.12528,0.0,0.0,0.0,0,0,298.15,593.15,273.149994,573.15,298.15,573.15,273.149994,593.15,741.3415716821779,1.6560234914770867e6,0.0010944997517868037,3.32,14.53,0.67,0.67,-1.0,-1.0,75,92,301,301,-1,-1
octadecane,octadecane,593-45-3,"InChI=1S/C18H38/c1-3-5-7-9-11-13-15-17-18-16-14-12-10-8-6-4-2/h3-18H2,1-2H3",CCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC,Alkanes,254.297,NONPOLAR,10.1021/acs.iecr.3c02255,7.77756,3.88349,248.90088,0.0,0.0,0.0,0,0,303.15,750.150024,273.149994,573.150024,303.15,573.150024,273.149994,750.150024,752.851732213876,1.5760404654447858e6,0.001162053939745902,2.94,9.59,0.52,0.52,-1.0,-1.0,128,143,248,248,-1,-1
"1,2-dibromotetrafluoroethane","1,2-dibromo-1,1,2,2-tetrafluoroethane",124-73-2,"InChI=1S/C2Br2F4/c3-1(5,6)2(4,7)8",FC(F)(Br)C(F)(F)Br,FC(F)(Br)C(F)(F)Br,Halogenated compounds,257.83,NONPOLAR,10.1021/acs.iecr.3c02255,2.72195,3.79323,238.22957,0.0,0.0,0.0,0,0,227.589996,485.22,213.15,461.45,227.589996,461.45,213.15,485.22,496.5291559002285,3.850328652242631e6,0.0003322502794822411,1.25,-1.0,0.37,0.35,0.42,3.47,98,-1,93,67,26,168
nonadecane,nonadecane,629-92-5,"InChI=1S/C19H40/c1-3-5-7-9-11-13-15-17-19-18-16-14-12-10-8-6-4-2/h3-19H2,1-2H3",CCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCC,Alkanes,268.313,NONPOLAR,10.1021/acs.iecr.3c02255,8.17602,3.87621,249.28432,0.0,0.0,0.0,0,0,306.15,613.150024,273.149994,670.0,306.15,613.150024,273.149994,670.0,763.9120311047446,1.5052458970743287e6,0.0012274328345316583,3.58,10.09,0.43,0.43,-1.0,-1.0,72,88,52,52,-1,-1
eicosane,icosane,112-95-8,"InChI=1S/C20H42/c1-3-5-7-9-11-13-15-17-19-20-18-16-14-12-10-8-6-4-2/h3-20H2,1-2H3",CCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCC,Alkanes,282.329,NONPOLAR,10.1021/acs.iecr.3c02255,8.46943,3.9001,250.82494,0.0,0.0,0.0,0,0,313.15,625.99,273.149994,573.150024,313.15,573.150024,273.149994,625.99,775.5696711272367,1.431257867639685e6,0.0013049469187904276,7.86,14.81,0.28,0.28,-1.0,-1.0,282,353,103,103,-1,-1
perfluoropentane,"1,1,1,2,2,3,3,4,4,5,5,5-dodecafluoropentane",678-26-2,"InChI=1S/C5F12/c6-1(7,2(8,9)4(12,13)14)3(10,11)5(15,16)17",FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fluorides,287.981,NONPOLAR,10.1021/acs.iecr.3c02255,4.29377,3.62194,169.55361,0.0,0.0,0.0,0,0,221.169998,421.850006,184.96,395.0,221.169998,395.0,184.96,421.850006,425.6502451037318,2.2909768879011474e6,0.00047263971347072934,2.47,3.51,1.81,1.63,2.09,2.27,86,87,87,54,33,71
perfluorohexane,"1,1,1,2,2,3,3,4,4,5,5,6,6,6-tetradecafluorohexane",355-42-0,"InChI=1S/C6F14/c7-1(8,3(11,12)5(15,16)17)2(9,10)4(13,14)6(18,19)20",FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fluorides,337.978,NONPOLAR,10.1021/acs.iecr.3c02255,4.71463,3.68131,176.00639,0.0,0.0,0.0,0,0,256.43,451.65,233.0,415.48,256.43,415.48,233.0,451.65,456.8668794203568,2.0989762782901153e6,0.0005512890822116324,1.08,1.29,1.33,1.35,0.83,-1.0,171,174,160,154,6,-1
tetracosane,tetracosane,646-31-1,"InChI=1S/C24H50/c1-3-5-7-9-11-13-15-17-19-21-23-24-22-20-18-16-14-12-10-8-6-4-2/h3-24H2,1-2H3",CCCCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCCCC,Alkanes,338.391,NONPOLAR,10.1021/acs.iecr.3c02255,9.99477,3.91337,251.29758,0.0,0.0,0.0,0,0,328.15,667.15,273.149994,393.15,328.15,393.15,273.149994,667.15,808.6206973413105,1.1783417420136032e6,0.0016155639937495143,10.49,19.19,0.31,0.31,-1.0,-1.0,214,268,75,75,-1,-1
heptacosane,heptacosane,593-49-7,"InChI=1S/C27H56/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-26-24-22-20-18-16-14-12-10-8-6-4-2/h3-27H2,1-2H3",CCCCCCCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCCCCCCC,Alkanes,380.438,NONPOLAR,10.1021/acs.iecr.3c02255,11.1418,3.91534,250.82568,0.0,0.0,0.0,0,0,351.25,575.15,293.149994,372.149994,351.25,372.149994,293.149994,575.15,826.8383662805394,1.0328416768544008e6,0.0018527318234530387,11.22,26.79,0.15,0.15,-1.0,-1.0,48,60,6,6,-1,-1
octacosane,octacosane,630-02-4,"InChI=1S/C28H58/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h3-28H2,1-2H3",CCCCCCCCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCCCCCCCC,Alkanes,394.454,NONPOLAR,10.1021/acs.iecr.3c02255,11.85246,3.88288,248.46039,0.0,0.0,0.0,0,0,339.02,588.130005,273.149994,573.15,339.02,573.15,273.149994,588.130005,829.8349558620611,972886.0446228106,0.0019533255763004797,8.45,15.5,0.45,0.45,-1.0,-1.0,187,234,92,92,-1,-1
squalane,"2,6,10,15,19,23-hexamethyltetracosane",111-01-3,"InChI=1S/C30H62/c1-25(2)15-11-19-29(7)23-13-21-27(5)17-9-10-18-28(6)22-14-24-30(8)20-12-16-26(3)4/h25-30H,9-24H2,1-8H3",CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,Alkanes,422.485,NONPOLAR,10.1021/acs.iecr.3c02255,10.56751,4.14394,254.15269,0.0,0.0,0.0,0,0,368.15,795.9,273.149994,561.6,368.15,561.6,273.149994,795.9,828.1601552909661,940281.6529710492,0.002055876039496021,3.24,13.54,0.88,0.88,-1.0,-1.0,56,71,463,463,-1,-1
perfluoro-n-octane,"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-octadecafluorooctane",307-34-6,"InChI=1S/C8F18/c9-1(10,3(13,14)5(17,18)7(21,22)23)2(11,12)4(15,16)6(19,20)8(24,25)26",FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fluorides,437.971,NONPOLAR,10.1021/acs.iecr.3c02255,5.67921,3.76137,183.04033,0.0,0.0,0.0,0,0,277.72,502.25,273.149994,473.19,277.72,473.19,273.149994,502.25,505.4324129213665,1.7386555055398317e6,0.0007279153464797543,1.59,5.37,1.64,1.87,1.05,-1.0,136,146,168,121,47,-1
perfluorononane,"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-icosafluorononane",375-96-2,"InChI=1S/C9F20/c10-1(11,2(12,13)4(16,17)6(20,21)8(24,25)26)3(14,15)5(18,19)7(22,23)9(27,28)29",FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fluorides,487.968,NONPOLAR,10.1021/acs.iecr.3c02255,6.50662,3.72925,180.65081,0.0,0.0,0.0,0,0,288.18,523.950012,283.15,343.15,288.18,343.15,283.15,523.950012,519.9102423770264,1.5480543449605585e6,0.000831816572411859,5.44,13.89,0.95,0.95,-1.0,-1.0,45,56,139,139,-1,-1
perfluorodecane,"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-docosafluorodecane",307-45-9,"InChI=1S/C10F22/c11-1(12,3(15,16)5(19,20)7(23,24)9(27,28)29)2(13,14)4(17,18)6(21,22)8(25,26)10(30,31)32",FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fluorides,537.965,NONPOLAR,10.1021/acs.iecr.3c02255,6.3228,3.85218,190.43719,0.0,0.0,0.0,0,0,417.35,542.35,273.149994,513.150024,417.35,513.150024,273.149994,542.35,543.4570484266571,1.522339079941919e6,0.0008863856642208095,5.23,6.66,1.55,1.71,1.42,-1.0,13,14,20,9,11,-1
